Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,goles_barca,goles_rival,temporada
2005-08-27,Alaves,Barcelona,0,0,D,0.0,0.0,D,,5.0,17.0,0.0,10.0,17.0,19.0,3.0,7.0,0.0,1.0,0.0,0.0,0,0,0506
2005-09-11,Barcelona,Mallorca,2,0,H,2.0,0.0,H,,23.0,6.0,7.0,0.0,13.0,20.0,7.0,3.0,2.0,2.0,0.0,2.0,2,0,0506
2005-09-18,Ath Madrid,Barcelona,2,1,H,1.0,1.0,D,,16.0,18.0,6.0,4.0,22.0,17.0,5.0,7.0,2.0,2.0,1.0,0.0,1,2,0506
2005-09-21,Barcelona,Valencia,2,2,D,1.0,0.0,H,,10.0,5.0,5.0,4.0,30.0,25.0,7.0,0.0,3.0,2.0,0.0,0.0,2,2,0506
2005-09-24,Betis,Barcelona,1,4,A,1.0,1.0,D,,9.0,23.0,5.0,10.0,19.0,17.0,1.0,7.0,4.0,2.0,1.0,0.0,4,1,0506
2005-10-01,Barcelona,Zaragoza,2,2,D,0.0,0.0,D,,22.0,7.0,7.0,3.0,16.0,23.0,1.0,2.0,4.0,3.0,0.0,1.0,2,2,0506
2005-10-15,La Coruna,Barcelona,3,3,D,1.0,2.0,A,,9.0,13.0,4.0,6.0,19.0,18.0,2.0,3.0,4.0,4.0,0.0,0.0,3,3,0506
2005-10-22,Barcelona,Osasuna,3,0,H,0.0,0.0,D,,24.0,6.0,10.0,1.0,10.0,21.0,7.0,2.0,1.0,4.0,0.0,0.0,3,0,0506
2005-10-26,Barcelona,Malaga,2,0,H,0.0,0.0,D,,36.0,4.0,20.0,1.0,6.0,24.0,12.0,2.0,0.0,5.0,0.0,0.0,2,0,0506
2005-10-30,Barcelona,Sociedad,5,0,H,2.0,0.0,H,,21.0,2.0,8.0,1.0,13.0,9.0,4.0,5.0,1.0,3.0,0.0,1.0,5,0,0506
2005-11-06,Getafe,Barcelona,1,3,A,0.0,1.0,A,,7.0,10.0,3.0,7.0,20.0,10.0,5.0,4.0,1.0,0.0,0.0,0.0,3,1,0506
2005-11-19,Real Madrid,Barcelona,0,3,A,0.0,1.0,A,,5.0,20.0,2.0,7.0,25.0,16.0,3.0,6.0,6.0,2.0,0.0,0.0,3,0,0506
2005-11-27,Barcelona,Santander,4,1,H,1.0,0.0,H,,25.0,3.0,7.0,1.0,13.0,30.0,8.0,0.0,1.0,2.0,0.0,1.0,4,1,0506
2005-12-04,Villarreal,Barcelona,0,2,A,0.0,1.0,A,,6.0,11.0,1.0,4.0,19.0,24.0,5.0,5.0,2.0,4.0,0.0,1.0,2,0,0506
2005-12-11,Barcelona,Sevilla,2,1,H,0.0,0.0,D,,14.0,7.0,3.0,2.0,24.0,19.0,7.0,1.0,4.0,2.0,0.0,0.0,2,1,0506
2005-12-17,Cadiz,Barcelona,1,3,A,0.0,2.0,A,,12.0,19.0,1.0,9.0,13.0,17.0,4.0,8.0,2.0,1.0,0.0,0.0,3,1,0506
2005-12-20,Barcelona,Celta,2,0,H,1.0,0.0,H,,15.0,4.0,7.0,2.0,15.0,26.0,6.0,1.0,1.0,3.0,0.0,0.0,2,0,0506
2006-01-07,Espanol,Barcelona,1,2,A,0.0,1.0,A,,9.0,19.0,3.0,7.0,29.0,20.0,5.0,6.0,6.0,3.0,0.0,0.0,2,1,0506
2006-01-15,Barcelona,Ath Bilbao,2,1,H,1.0,1.0,D,,16.0,8.0,9.0,2.0,18.0,24.0,7.0,5.0,2.0,4.0,1.0,0.0,2,1,0506
2006-01-22,Barcelona,Alaves,2,0,H,0.0,0.0,D,,25.0,3.0,7.0,1.0,23.0,19.0,7.0,5.0,1.0,2.0,0.0,0.0,2,0,0506
2006-01-29,Mallorca,Barcelona,0,3,A,0.0,1.0,A,,5.0,15.0,2.0,4.0,17.0,13.0,2.0,6.0,4.0,3.0,1.0,0.0,3,0,0506
2006-02-05,Barcelona,Ath Madrid,1,3,A,0.0,1.0,A,,15.0,13.0,6.0,5.0,19.0,26.0,6.0,2.0,3.0,4.0,0.0,0.0,1,3,0506
2006-02-12,Valencia,Barcelona,1,0,H,1.0,0.0,H,,9.0,18.0,4.0,5.0,19.0,21.0,1.0,5.0,3.0,4.0,0.0,0.0,0,1,0506
2006-02-18,Barcelona,Betis,5,1,H,3.0,0.0,H,,19.0,13.0,8.0,8.0,20.0,22.0,4.0,6.0,4.0,2.0,0.0,0.0,5,1,0506
2006-02-25,Zaragoza,Barcelona,0,2,A,0.0,0.0,D,,5.0,8.0,2.0,2.0,20.0,15.0,3.0,1.0,1.0,0.0,1.0,0.0,2,0,0506
2006-03-04,Barcelona,La Coruna,3,2,H,2.0,2.0,D,,16.0,7.0,7.0,2.0,10.0,27.0,8.0,2.0,3.0,5.0,0.0,0.0,3,2,0506
2006-03-12,Osasuna,Barcelona,2,1,H,1.0,0.0,H,,11.0,8.0,3.0,4.0,29.0,19.0,2.0,1.0,6.0,2.0,0.0,2.0,1,2,0506
2006-03-18,Sociedad,Barcelona,0,2,A,0.0,1.0,A,,9.0,14.0,5.0,6.0,21.0,14.0,7.0,3.0,2.0,2.0,0.0,0.0,2,0,0506
2006-03-21,Barcelona,Getafe,3,1,H,1.0,1.0,D,,15.0,9.0,4.0,4.0,17.0,18.0,10.0,6.0,1.0,2.0,0.0,0.0,3,1,0506
2006-03-25,Malaga,Barcelona,0,0,D,0.0,0.0,D,,13.0,23.0,5.0,10.0,32.0,20.0,6.0,5.0,2.0,0.0,0.0,0.0,0,0,0506
2006-04-01,Barcelona,Real Madrid,1,1,D,1.0,1.0,D,,35.0,3.0,11.0,1.0,21.0,18.0,12.0,0.0,2.0,6.0,0.0,1.0,1,1,0506
2006-04-09,Santander,Barcelona,2,2,D,2.0,2.0,D,,8.0,10.0,3.0,3.0,19.0,15.0,4.0,1.0,4.0,1.0,0.0,1.0,2,2,0506
2006-04-14,Barcelona,Villarreal,1,0,H,1.0,0.0,H,,14.0,10.0,4.0,3.0,21.0,18.0,8.0,4.0,1.0,3.0,0.0,0.0,1,0,0506
2006-04-29,Barcelona,Cadiz,1,0,H,1.0,0.0,H,,14.0,7.0,4.0,4.0,15.0,19.0,2.0,4.0,1.0,3.0,0.0,0.0,1,0,0506
2006-05-03,Celta,Barcelona,0,1,A,0.0,0.0,D,,13.0,14.0,1.0,5.0,17.0,17.0,7.0,2.0,3.0,3.0,0.0,0.0,1,0,0506
